COD,Min jobs,Max jobs
2023,849.173750906415,3396.69500362566
2024,1077.6424075721932,4310.569630288773
2025,862.6435123992296,3450.5740495969185
2026,911.5355305153579,3646.1421220614316
2027,788.5878429039905,3154.351371615962
2028,903.1299320438999,3612.5197281755995
2029,704.1943561497889,2816.7774245991554
2030,911.8706778399252,3647.4827113597007
2031,823.5245625904436,3294.0982503617743
2032,779.8997246056048,3119.598898422419
2033,471.15196691011926,1884.607867640477
