COD,Min jobs,Max jobs
2023,5730.375227115139,22921.500908460555
2024,7445.648709377355,29782.59483750942
2025,6254.422999784466,25017.691999137864
2026,7662.695202501272,30650.768036196812
2027,7951.05435754246,31804.192105975555
2028,9798.66874538931,39194.63730850981
2029,10064.586922218337,40258.31542883402
2030,11750.660665015193,47002.61570274371
2031,13456.756206792148,53827.01021870468
2032,13030.351529096873,52121.398868723736
2033,13427.302901430245,53709.21160572096
